Reference,priority,review_block,review_from_local,review_until_local,review_from_utc,review_until_utc,label_from_local,label_until_local,label_from_utc,label_until_utc,mov_type,label_quality,review_notes,offset_minutes,right_records,left_records,total_records
77370299R-115,2,34,2024-11-04 12:30:00,2024-11-04 12:40:00,2024-11-04 11:30:00+00:00,2024-11-04 11:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,35,2024-11-04 12:40:00,2024-11-04 12:50:00,2024-11-04 11:40:00+00:00,2024-11-04 11:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,36,2024-11-04 12:50:00,2024-11-04 13:00:00,2024-11-04 11:50:00+00:00,2024-11-04 12:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,37,2024-11-04 13:00:00,2024-11-04 13:10:00,2024-11-04 12:00:00+00:00,2024-11-04 12:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,38,2024-11-04 13:10:00,2024-11-04 13:20:00,2024-11-04 12:10:00+00:00,2024-11-04 12:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,39,2024-11-04 13:20:00,2024-11-04 13:30:00,2024-11-04 12:20:00+00:00,2024-11-04 12:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,40,2024-11-04 13:30:00,2024-11-04 13:40:00,2024-11-04 12:30:00+00:00,2024-11-04 12:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,41,2024-11-04 13:40:00,2024-11-04 13:50:00,2024-11-04 12:40:00+00:00,2024-11-04 12:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,42,2024-11-04 13:50:00,2024-11-04 14:00:00,2024-11-04 12:50:00+00:00,2024-11-04 13:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,43,2024-11-04 14:00:00,2024-11-04 14:10:00,2024-11-04 13:00:00+00:00,2024-11-04 13:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,44,2024-11-04 14:10:00,2024-11-04 14:20:00,2024-11-04 13:10:00+00:00,2024-11-04 13:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,45,2024-11-04 14:20:00,2024-11-04 14:30:00,2024-11-04 13:20:00+00:00,2024-11-04 13:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,46,2024-11-04 14:30:00,2024-11-04 14:40:00,2024-11-04 13:30:00+00:00,2024-11-04 13:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,47,2024-11-04 14:40:00,2024-11-04 14:50:00,2024-11-04 13:40:00+00:00,2024-11-04 13:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,48,2024-11-04 14:50:00,2024-11-04 15:00:00,2024-11-04 13:50:00+00:00,2024-11-04 14:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,49,2024-11-04 15:00:00,2024-11-04 15:10:00,2024-11-04 14:00:00+00:00,2024-11-04 14:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,50,2024-11-04 15:10:00,2024-11-04 15:20:00,2024-11-04 14:10:00+00:00,2024-11-04 14:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
