Reference,priority,review_block,review_from_local,review_until_local,review_from_utc,review_until_utc,label_from_local,label_until_local,label_from_utc,label_until_utc,mov_type,label_quality,review_notes,offset_minutes,right_records,left_records,total_records
JOM250427-105,10,34,2025-04-27 13:30:00,2025-04-27 13:40:00,2025-04-27 11:30:00+00:00,2025-04-27 11:40:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,35,2025-04-27 13:40:00,2025-04-27 13:50:00,2025-04-27 11:40:00+00:00,2025-04-27 11:50:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,36,2025-04-27 13:50:00,2025-04-27 14:00:00,2025-04-27 11:50:00+00:00,2025-04-27 12:00:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,37,2025-04-27 14:00:00,2025-04-27 14:10:00,2025-04-27 12:00:00+00:00,2025-04-27 12:10:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,38,2025-04-27 14:10:00,2025-04-27 14:20:00,2025-04-27 12:10:00+00:00,2025-04-27 12:20:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,39,2025-04-27 14:20:00,2025-04-27 14:30:00,2025-04-27 12:20:00+00:00,2025-04-27 12:30:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,40,2025-04-27 14:30:00,2025-04-27 14:40:00,2025-04-27 12:30:00+00:00,2025-04-27 12:40:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,41,2025-04-27 14:40:00,2025-04-27 14:50:00,2025-04-27 12:40:00+00:00,2025-04-27 12:50:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,42,2025-04-27 14:50:00,2025-04-27 15:00:00,2025-04-27 12:50:00+00:00,2025-04-27 13:00:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,43,2025-04-27 15:00:00,2025-04-27 15:10:00,2025-04-27 13:00:00+00:00,2025-04-27 13:10:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,44,2025-04-27 15:10:00,2025-04-27 15:20:00,2025-04-27 13:10:00+00:00,2025-04-27 13:20:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,45,2025-04-27 15:20:00,2025-04-27 15:30:00,2025-04-27 13:20:00+00:00,2025-04-27 13:30:00+00:00,,,,,,,,-120,4499010,4897566,9396576
